SINONIMIA,MEDICAMENTO
ANACARDIUM OFFICINARUM                            ,ANACARDIUM ORIENTALE
ANACARDIUM OR                                     ,ANACARDIUM ORIENTALE
ANAGALLIS COERULEA                                ,ANAGALLIS ARVENSIS
ANAGALLIS PHOENICEA                               ,ANAGALLIS ARVENSIS
ANAKONDA                                          ,EUNECTES NOTATEUS
ANALGESINUM                                       ,ANTIPYRINUM
ANAMIRTA COCCULUS                                 ,COCCULUS INDICUS
ANAMIRTA PANICULATA                               ,COCCULUS INDICUS
ANAMIRTA PANICULATUM                              ,COCCULUS INDICUS
ANAPODOPHYLLUM CANADENSE                          ,PODOPHYLLUM PELTATUM
ANAPODOPHYLLUM PELTATUM                           ,PODOPHYLLUM PELTATUM
ANAS BARBARIAE CORDIS ET HEPATIS                  ,OSCILLOCOCCINUM
ANAS BARBARIE                                     ,OSCILLOCOCCINUM
ANATHERUM MUR                                     ,ANATHERUM MURICATUM
ANCISTRODON CONTORTRIX                            ,CENCHRIS CONTORTRIX
ANDROCHTONUS HEBRAEUS                             ,ANDROCTONUS AMOREUXII HEBRAEUS
ANDROCTANUS                                       ,ANDROCTONUS AMOREUXII HEBRAEUS
ANDROCTONUS AUSTRALIS                             ,BUTHUS AUSTRALIS
ANDROCTONUS FUNESTUS                              ,BUTHUS AUSTRALIS
ANDROMEDA                                         ,OXYDENDRUM ARBOREUM
ANDROMEDA ARBOREA                                 ,OXYDENDRUM ARBOREUM
ANDROPOGON DENSIFLORUM                            ,ANATHERUM MURICATUM
ANDROPOGON MURICATUS                              ,ANATHERUM MURICATUM
ANDROPOGON NARDUS                                 ,ANATHERUM MURICATUM
ANDROPOGON SQUARROSUS                             ,ANATHERUM MURICATUM
ANEMONA PRATENSIS                                 ,PULSATILLA NIGRICANS
ANEMONA PULSATILLA                                ,PULSATILLA NIGRICANS
ANEMONE HEPATICA                                  ,HEPATICA TRILOBA
ANEMONE PATENS                                    ,PULSATILLA NUTTALLIANA
ANEMONE VITALBA                                   ,CLEMATIS VITALBA
ANEMOPAEGMA MIR                                   ,CATUABA
ANEMOPAEGMA MIRANDUM                              ,CATUABA
ANETHUM ARVENSIS                                  ,ANETHUM GRAVEOLENS
ANETHUM FOENICULUM                                ,FOENICULUM VULGARIS
ANETHUM GRAV                                      ,ANETHUM GRAVEOLENS
ANETHUM HORTENSE                                  ,ANETHUM GRAVEOLENS
ANEURINE HYDROCHLORIDE                            ,VITAMINA B1
ANEURINUM CHLORHIDRATUM                           ,VITAMINA B1
ANGELICA ARCHANGELICA                             ,ANGELICA OFFICINALIS
ANGELICA INTERMEDIA                               ,ANGELICA OFFICINALIS
ANGELICA LITORALIS                                ,ANGELICA OFFICINALIS
ANGELICA MAJOR                                    ,ANGELICA OFFICINALIS
ANGELICA PROCERA                                  ,ANGELICA OFFICINALIS
ANGELICA SATIVA                                   ,ANGELICA OFFICINALIS
ANGIO NEUROSINUM                                  ,GLONOINUM
ANGUILLA ANGUILLA                                 ,SERUM ANGUILLAE
ANGUILLA VULGARIS                                 ,SERUM ANGUILLAE
ANGUSTURA                                         ,ANGUSTURA VERA
ANGUSTURA CUSPARIA                                ,ANGUSTURA VERA
ANHALONIUM                                        ,ANHALONIUM LEWINII
ANIDRIDO CARBONICO                                ,GAS CARBONICO
ANILINA                                           ,ANILINUM
ANIS ESTRELADO                                    ,ANISUM STELLATUM
ANISUM VULGARE GAERTN                             ,PIMPINELLA ANISUM
ANNA'S HUMMINGBIRD                                ,CALYPTE ANNA
ANNONA TRILOBA                                    ,ASIMINA TRILOBA
